census_tract,county,location,population,PollutionScore,pm25,diesel_pm,traffic_density,ozone,asthma,cardiovascular_disease,diabetes,low_birth_weight
6021010402,Glenn,Willows,6239,5.317265302,7.642724156,0.061249425,272.321,0.045248966,52.39,26.12,13.5,3.78
6021010501,Glenn,Orland,3953,4.971542702,7.598344002,0.030902388,123.39,0.047538231,30.88,21.32,13.8,3.23
6021010502,Glenn,Butte City,1285,5.04580652,7.673584448,0.022901448,172.658,0.046345924,48.12,24.28,12.1,3.57
6023000100,Humboldt,Eureka,4443,4.898465313,8.713020802,0.17662346,256.98,0.025815085,51.0,16.76,10.6,6.54
6023000200,Humboldt,Eureka,5732,4.276854572,8.46436882,0.092354924,342.984,0.025815085,50.06,16.34,11.3,6.06
6023000300,Humboldt,Eureka,5540,3.612430384,8.238447507,0.052633037,342.25,0.025815085,40.75,12.16,11.4,3.77
6023000400,Humboldt,Eureka,3976,3.097676534,8.309434755,0.018340844,448.823,0.025815085,39.86,11.76,12.5,4.35
6023000500,Humboldt,Eureka,3234,4.300381473,8.666048368,0.109619537,422.416,0.025815085,51.0,16.76,11.2,5.22
6023000600,Humboldt,Eureka,5760,2.891933715,8.460827192,0.032421896,298.107,0.025815085,50.25,16.42,10.7,2.87
6023000700,Humboldt,Eureka,5742,2.504181358,8.153596759,0.015407345,249.17,0.025815085,40.07,11.85,9.7,4.32
6023000800,Humboldt,Eureka,4568,3.426001708,8.455897377,0.025730578,636.399,0.026213655,48.17,15.59,11.0,6.14
6023000900,Humboldt,Bayside,5376,3.149090436,8.042636955,0.009101762,382.956,0.026997877,44.46,16.2,10.4,2.0
6023001001,Humboldt,Arcata,3039,4.415518094,8.312980652,0.077247993,476.471,0.026607903,46.38,17.26,7.0,2.88
6023001002,Humboldt,Arcata,3333,3.925554456,8.266496181,0.139944846,519.404,0.026607903,46.38,17.22,5.9,5.75
6023001102,Humboldt,Arcata,4723,4.829726769,8.775365639,0.087900566,457.91,0.026997877,46.38,17.26,9.6,6.72
6023001103,Humboldt,Arcata,2061,3.403180157,8.594576518,0.019672931,221.794,0.026607903,46.38,17.26,7.7,6.32
6023001200,Humboldt,Korbel,4755,3.125629832,7.244824244,0.002015161,204.167,0.030672447,45.3,17.36,8.3,3.89
6023001300,Humboldt,Arcata,1700,4.482923134,8.815380266,0.009483986,359.657,0.026213655,41.04,15.48,9.9,7.61
6023010102,Humboldt,Hoopa,2001,3.922674492,7.03073915,0.00376304,97.341,0.031698939,14.69,18.15,13.5,10.55
6023010200,Humboldt,Trinidad,2824,3.816230518,7.546752678,0.007295804,172.873,0.029969228,15.5,14.66,11.8,3.94
6023010300,Humboldt,Blue Lake,2992,3.382434029,7.450628587,0.002085548,134.14,0.029250507,30.72,20.18,11.2,2.03
6023010400,Humboldt,McKinleyville,3709,2.689052098,8.393079185,0.008902843,246.79,0.027765185,30.23,22.6,10.7,4.06
6023010502,Humboldt,McKinleyville,5899,2.59168388,8.377826655,0.01075192,300.128,0.027383622,30.23,22.88,8.8,6.38
6023010503,Humboldt,McKinleyville,4083,2.794872271,8.647179365,0.037319816,274.668,0.026997877,30.23,22.88,9.1,2.78
6023010504,Humboldt,McKinleyville,3690,2.52509292,8.742813492,0.031324753,337.996,0.026997877,30.61,22.75,10.7,2.05
6023010600,Humboldt,Eureka,2098,2.245177091,7.784366461,0.000812774,141.486,0.026997877,40.08,11.92,10.7,7.14
6023010701,Humboldt,Eureka,4598,3.09613784,8.392941833,0.013806477,421.911,0.025815085,40.21,12.08,10.9,8.27
6023010702,Humboldt,Eureka,2857,3.151224177,8.21395118,0.007820393,475.978,0.026213655,40.59,12.53,15.2,3.76
6023010800,Humboldt,Loleta,4966,5.049509257,8.610488927,0.013941444,467.006,0.026213655,45.18,20.69,11.8,5.31
6023010901,Humboldt,Fortuna,4600,4.735651238,8.123120308,0.06572168,329.22,0.026997877,42.76,20.7,11.5,5.44
6023010902,Humboldt,Bridgeville,4166,3.428285914,7.367325942,0.001771763,75.928,0.030322754,34.8,20.8,11.7,5.36
6023011000,Humboldt,Fortuna,5155,3.610064361,8.112007005,0.028254767,301.229,0.027383622,42.76,20.7,11.0,4.13
